Protocol,Sector,Source,Year,GHG Emissions (mt CO2e)
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2005,2513636.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2006,2193105.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2007,2506091.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2008,2458906.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2009,2236563.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2010,2261843.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2011,2118624.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2012,1883819.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2013,1885570.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2014,1905547.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2015,1988389.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2016,1790583.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2017,1738300.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2018,1630233.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2019,1590867.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2005,417865.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2006,292509.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2007,288561.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2008,208381.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2009,266718.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2010,452417.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2011,296312.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2012,192173.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2013,201216.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2014,226317.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2015,231517.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2016,138273.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2017,156654.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2018,161163.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2019,162570.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2005,1082796.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2006,1068737.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2007,1124786.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2008,1183985.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2009,1109123.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2010,1118167.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2011,1150003.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2012,1053562.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2013,1185444.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2014,1252271.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2015,1349883.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2016,1240286.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2017,1239513.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2018,1331914.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Natural Gas,2019,1321707.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2005,304006.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2006,219342.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2007,198224.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2008,184180.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2009,154148.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2010,132181.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2011,162114.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2012,134436.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2013,176616.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2014,193990.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2015,101790.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2016,127661.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2017,76242.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2018,103774.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2019,74788.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2005,545778.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2006,460610.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2007,517384.00
